Date,Global_active_power_mean,Global_active_power_max,Global_active_power_min,Global_active_power_std,Global_active_power_sum,Global_reactive_power_mean,Global_reactive_power_max,Global_reactive_power_min,Global_reactive_power_std,Global_reactive_power_sum,Voltage_mean,Voltage_max,Voltage_min,Voltage_std,Voltage_sum,Global_intensity_mean,Global_intensity_max,Global_intensity_min,Global_intensity_std,Global_intensity_sum,Sub_metering_1_mean,Sub_metering_1_max,Sub_metering_1_min,Sub_metering_1_std,Sub_metering_1_sum,Sub_metering_2_mean,Sub_metering_2_max,Sub_metering_2_min,Sub_metering_2_std,Sub_metering_2_sum,Sub_metering_3_mean,Sub_metering_3_max,Sub_metering_3_min,Sub_metering_3_std,Sub_metering_3_sum,peak_offpeak_ratio,is_weekend,hour_00_mean_power,hour_01_mean_power,hour_02_mean_power,hour_03_mean_power,hour_04_mean_power,hour_05_mean_power,hour_06_mean_power,hour_07_mean_power,hour_08_mean_power,hour_09_mean_power,hour_10_mean_power,hour_11_mean_power,hour_12_mean_power,hour_13_mean_power,hour_14_mean_power,hour_15_mean_power,hour_16_mean_power,hour_17_mean_power,hour_18_mean_power,hour_19_mean_power,hour_20_mean_power,hour_21_mean_power,hour_22_mean_power,hour_23_mean_power
2006-12-16,2.995096590909091,4.928,0.284,0.8848478781130389,1186.05825,0.08818686868686867,0.528,0.0,0.09901364401207445,34.922,236.24376262626262,243.73,230.98,2.9228955184655203,93552.53,12.807070707070707,21.0,1.2,3.606128820273282,5071.6,0.0,0.0,0.0,0.0,0.0,0.5340307840307841,3.4761904761904763,0.0,0.7961893479753875,211.47619047619048,12.43939393939394,18.0,0.0,7.455105370647486,4926.0,1.5819136892518073,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8262013888888884,3.4849166666666664,3.4002333333333334,3.2685666666666666,3.0564666666666667,2.2001333333333335,2.0616
2006-12-17,2.3251062499999997,5.07,0.206,1.1373535525444067,3348.153,0.15655,0.528,0.0,0.11375774122797272,225.432,240.0870277777778,249.37,229.57,4.051466800751101,345725.32,9.862854797979798,21.2,0.8,4.707973780223096,14202.51090909091,0.09437153124653125,1.1318681318681318,0.0,0.2897547217005172,135.895004995005,0.6734777509093915,3.5,0.0,0.9707914149615531,969.8079613095238,9.264583333333333,19.0,0.0,8.645363885516623,13341.0,1.5144685093261698,1,1.8824666666666665,3.2310166666666666,1.5872666666666668,1.6622,2.2157666666666667,1.9967333333333335,1.3033000000000001,1.6200333333333332,1.8905666666666667,2.3072,3.3776,2.4709999999999996,1.9158666666666666,1.6607666666666667,2.092633333333333,2.9555333333333333,3.3260333333333336,3.406766666666667,3.6334,2.9084,3.3615,3.040766666666667,1.518,0.4377333333333333
2006-12-18,1.528436111111111,4.868,0.202,0.9977915995928469,2200.948,0.10997569444444445,0.522,0.0,0.10232050848271668,158.365,241.23169444444446,248.48,229.08,3.719575628087397,347373.64,6.4119212962962955,21.133333333333333,0.8,4.211861430426335,9233.166666666666,0.04580283656672546,1.1185185185185185,0.0,0.20654678132253357,65.95608465608466,0.39070798022598874,3.5338983050847457,0.0,0.745480564290787,562.6194915254238,9.734722222222222,20.0,0.0,8.765125471047343,14018.0,2.8389951690962154,0,0.2763666666666667,0.31329999999999997,0.2844666666666667,0.30993333333333334,1.0263333333333333,0.2935,0.61,2.4366,2.082133333333333,1.6293333333333335,1.3096333333333334,1.5619333333333332,1.7560666666666667,1.6820666666666668,1.7330333333333334,1.7842999999999998,1.9493,2.1549,2.402533333333333,2.580366666666667,3.0505666666666666,2.1697333333333333,1.7388000000000001,1.5472666666666666
2006-12-19,1.1253194444444445,5.024,0.194,1.1198830401826954,1620.46,0.10464097222222221,0.556,0.0,0.10080338258167786,150.683,241.9993125,248.89,231.24,3.0694916334276576,348479.01,4.788833741830065,21.3,0.8,4.719472112015968,6895.920588235294,0.016365569526627217,1.135249366018597,0.0,0.12071347590789586,23.566420118343196,0.9054440301486365,3.5407647453016073,0.0,1.2054965650773564,1303.8394034140365,4.303472222222222,19.0,0.0,7.529344153149943,6197.0,3.1461443364493267,0,0.8371333333333334,0.3530333333333333,0.3272333333333333,0.3083,0.32783333333333337,0.30666666666666664,0.7617666666666667,1.7856333333333334,3.3235,1.5052666666666668,0.4371333333333334,2.321633333333333,0.43066666666666664,0.30046666666666666,0.3021333333333333,0.42136666666666667,1.3721333333333334,2.1115,2.2047000000000003,1.8420999999999998,2.8809,1.4428666666666667,0.7200000000000001,0.3837
2006-12-20,1.528817013888889,4.842,0.202,1.2769279053969598,2201.4965,0.11180416666666666,0.482,0.0,0.09492611067111008,160.998,242.30806249999998,249.48,233.43,3.34570379868427,348923.61,6.398159722222222,21.2,0.8,5.373696313357027,9213.35,0.0,0.0,0.0,0.0,0.0,0.4513831845238095,3.537142857142857,0.0,0.8936661075232223,649.9917857142857,9.765972222222222,19.0,0.0,8.79905124074411,14063.0,2.121612973958235,0,0.4598333333333333,0.25866666666666666,0.7843666666666667,0.3100333333333333,0.289,0.2627,0.28359999999999996,1.5266333333333333,2.5605416666666665,1.3855333333333333,1.5103000000000002,2.8924000000000003,1.4210333333333334,1.4284,1.2949,0.2811333333333333,0.46843333333333337,0.5735,2.8368333333333333,3.2015000000000002,3.5754666666666663,3.646066666666667,3.058966666666667,2.3817666666666666
2006-12-21,1.1880309027777778,4.954,0.194,0.9775187835895338,1710.7645,0.09913124999999999,0.548,0.0,0.1062698411961067,142.749,241.0419027777778,247.08,228.91,3.7000969262086594,347100.34,5.004097222222222,19.6,0.8,4.120737010624769,7205.9,0.06550165158239828,1.134765625,0.0,0.2487049346055193,94.32237827865352,0.4724247235881067,3.538344530358727,0.0,0.8771229387491544,680.2916019668737,7.236805555555556,19.0,0.0,8.641346111387177,10421.0,2.301991068691754,0,1.5358666666666667,1.3979666666666666,1.2749,0.3026,0.24673333333333333,0.2907,0.29566666666666663,1.2429166666666667,1.5630333333333333,2.5758,1.7677,0.525,0.8191333333333333,1.6882333333333333,1.0239,0.3074,1.3600666666666668,1.7526333333333333,2.4433000000000002,2.1741666666666664,2.3920583333333334,0.9822666666666666,0.28026666666666666,0.2704333333333333
2006-12-22,1.592420949074074,5.062,0.202,1.3331556568881235,2293.0861666666665,0.12956203703703703,0.526,0.0,0.11328871095625838,186.56933333333333,241.1845486111111,248.82,230.39,3.5728071808052904,347305.75,6.723194444444444,21.2,0.8,5.612061736252644,9681.4,0.13095559243996743,1.1333333333333333,0.0,0.33117328427538867,188.57605311355312,0.24305555555555555,2.0,0.0,0.5472342206545787,350.0,7.729861111111111,19.0,0.0,8.692648478815238,11131.0,2.251030884917158,0,0.2669333333333333,0.272,0.26763333333333333,0.27386666666666665,0.26426666666666665,0.8068333333333334,0.40719999999999995,1.7231999999999998,2.7443999999999997,1.8963,1.3449666666666669,1.2525666666666666,1.2284666666666666,0.6719,0.8155666666666667,1.4516333333333333,1.5712000000000002,1.4968,2.6869666666666663,3.9381666666666666,3.4474527777777775,3.9055166666666663,3.0650666666666666,2.4191999999999996
2006-12-23,3.159074258470118,5.092,0.208,1.2563253984539688,4549.06693219697,0.15121395833333334,0.5592,0.0,0.13190276366703582,217.7481,240.1360763888889,247.23,231.17,2.827044406717384,345795.95,13.335997281971501,21.32,0.8,5.081294502343431,19203.836086038962,0.08112367819080782,1.137777777777778,0.0,0.2665663738812012,116.81809659476326,0.2951388888888889,2.0,0.0,0.6020384484512894,425.0,10.22638888888889,19.0,0.0,8.624358945155695,14726.0,1.6206562617762466,1,1.6982333333333333,1.7227999999999999,1.7007666666666665,1.7715333333333334,1.8916,2.2291000000000003,1.6493666666666666,3.9594333333333336,4.11875,3.2464,2.972166666666667,3.159,2.9288000000000003,3.4063,3.7470333333333334,3.979133333333333,4.236463333333334,4.523483106060606,3.7492,3.985066666666667,4.083166666666667,3.2381555555555557,3.812563541666667,4.009266666666667
2006-12-24,1.7394989583333331,5.096,0.196,1.1962524382465451,2504.8785,0.10409722222222223,0.494,0.0,0.09320229289132721,149.9,241.6874375,249.27,231.08,3.439826631979948,348029.91,7.492048611111111,21.2,0.8,4.95242732555465,10788.55,0.06709758148801358,1.131687242798354,0.0,0.2475100753844412,96.62051734273956,0.6679826798361281,3.538793103448276,0.0,1.0809356824369918,961.8950589640245,4.785416666666666,19.0,0.0,7.791974531221536,6891.0,0.879164585763132,1,3.922675,3.19415,2.141516666666667,1.6067666666666667,1.5761,1.6319000000000001,1.8952,1.4764000000000002,1.4277666666666666,2.6946,2.6753333333333336,2.0929333333333333,1.45485,2.97235,1.3715333333333333,3.062683333333333,1.98125,1.6864999999999999,0.5052,0.45403333333333334,0.4741,0.4840333333333333,0.4797666666666666,0.48633333333333334
2006-12-25,1.844765,5.092,0.198,1.2848679452115384,2656.4616,0.165384375,0.55,0.0,0.12731729390626653,238.1535,243.39993055555558,250.62,233.48,3.471000339761023,350495.9,7.707538817663817,21.24,0.8,5.428464594360694,11098.855897435897,0.17797762161963554,1.140432098765432,0.0,0.3818570036775011,256.28777513227516,0.38254859561011906,3.535094246031746,0.0,0.7883437424070461,550.8699776785714,4.024305555555555,19.0,0.0,7.433099785100262,5795.0,1.7774326207735534,0,0.9995666666666667,1.2067666666666665,0.438,0.5899666666666668,0.5786666666666667,0.6201000000000001,0.26406666666666667,0.6389999999999999,2.6111,1.4934666666666667,1.9156666666666666,2.9751266666666667,2.8866333333333336,2.0104166666666665,1.7837333333333334,1.7403333333333333,3.55965,1.9694,2.4230666666666663,1.6295,1.9771333333333334,3.486483333333333,3.8842833333333333,2.592233333333333
